         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    78/38    0.000    0.000    0.624    0.016 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       43    0.000    0.000    0.001    0.000 enum.py:383(__setitem__)
      185    0.000    0.000    0.003    0.000 typing.py:166(_type_convert)
      285    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      613    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       70    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      396    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      431    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      210    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       97    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      321    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       97    0.000    0.000    0.001    0.000 enum.py:1531(__or__)
      286    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      941    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
        1    0.000    0.000    0.052    0.052 dammit.py:67(EntitySubstitution)
      481    0.000    0.000    0.000    0.000 typing.py:918(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      273    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
      266    0.000    0.000    0.000    0.000 enum.py:1172(__init__)
      478    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
       27    0.000    0.000    0.134    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
        2    0.000    0.000    0.004    0.002 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      198    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       12    0.000    0.000    0.001    0.000 enum.py:1401(_missing_)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      244    0.000    0.000    0.000    0.000 types.py:192(__init__)
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       67    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
       21    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
    42/30    0.000    0.000    0.022    0.001 css_parser.py:566(parse_pseudo_class)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
