         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      281    0.000    0.000    0.000    0.000 types.py:192(__init__)
      416    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       15    0.000    0.000    0.015    0.001 _make.py:1489(wrap)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
       19    0.000    0.000    0.000    0.000 enum.py:1022(_find_new_)
        2    0.000    0.000    0.041    0.021 _sockets.py:1(<module>)
      114    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.031    0.031 progress.py:1(<module>)
       38    0.000    0.000    0.001    0.000 enum.py:954(_get_mixins_)
       69    0.000    0.000    0.010    0.000 _make.py:298(_compile_and_eval)
        1    0.000    0.000    0.389    0.389 _main.py:1(<module>)
        1    0.000    0.000    0.028    0.028 default_styles.py:1(<module>)
      184    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.006    0.006 stapled.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:153(TraversableResources)
       29    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
      450    0.000    0.000    0.000    0.000 _make.py:2588(<genexpr>)
    38/29    0.000    0.000    0.042    0.001 css_parser.py:726(parse_pseudo_open)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      396    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      245    0.000    0.000    0.010    0.000 _parser.py:98(closegroup)
       50    0.000    0.000    0.000    0.000 typing.py:1587(__hash__)
      115    0.000    0.000    0.000    0.000 _make.py:1078(_add_method_dunders)
        2    0.000    0.000    0.052    0.026 utils.py:1(<module>)
        3    0.000    0.000    0.055    0.018 core.py:1(<module>)
      428    0.000    0.000    0.000    0.000 enum.py:1172(__init__)
        1    0.000    0.000    0.002    0.002 text.py:101(Text)
       20    0.000    0.000    0.001    0.000 contextlib.py:272(contextmanager)
      202    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.001    0.001 regexopt.py:1(<module>)
       79    0.000    0.000    0.000    0.000 token.py:15(split)
        7    0.000    0.000    0.001    0.000 inspect.py:2368(_signature_from_function)
        1    0.000    0.000    0.018    0.018 color.py:1(<module>)
        2    0.000    0.000    0.063    0.032 pretty.py:1(<module>)
       53    0.000    0.000    0.008    0.000 _make.py:306(_make_method)
      125    0.000    0.000    0.000    0.000 enum.py:197(__get__)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
      586    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 http_proxy.py:170(ForwardHTTPConnection)
      379    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
       17    0.000    0.000    0.003    0.000 _make.py:1732(_make_eq)
       19    0.000    0.000    0.000    0.000 box.py:33(__init__)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       15    0.000    0.000    0.001    0.000 typing.py:732(Literal)
        2    0.000    0.000    0.290    0.145 _synchronization.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _make.py:2599(_setattrs)
        1    0.000    0.000    0.004    0.004 tls.py:1(<module>)
      135    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      263    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
